tender/id;tender/title;tender/description;tender/status;tender/procuringEntity/id;tender/value/currency;tender/value/amount;tender/procuringEntity/name;tender/procurementMethod;tender/procurementMethodDetails;tender/mainProcurementCategory;tender/additionalProcurementCategories;tender/tenderPeriod/startDate;tender/tenderPeriod/endDate;tender/tenderPeriod/durationInDays;tender/enquiryPeriod/startDate;tender/enquiryPeriod/endDate;tender/enquiryPeriod/durationInDays;tender/techniques/hasFrameworkAgreement;tender/competitive;language;tender/items/0/id;tender/items/0/description;tender/items/0/quantity;tender/items/0/unit/name;tender/items/0/unit/value/amount;tender/items/0/unit/value/currency;Total
10002-0865-LPU22;Playa de Estacionamiento Subterránea Avenida Córdoba entre Florida y Esmeralda; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-01-05T11:00:00-03:00;2023-02-22T10:59:00-03:00;48;2023-01-05T08:01:00-03:00;2023-02-17T11:00:00-03:00;43;FALSO;FALSO;es;24.01.001.0001.1-0;CONCESION DE PLAYA DE ESTACIONAMIENTO SUBTERRANEA Demás especificaciones deberán ser indicadas por la repartición solicitante   Modelo: Según requerimiento de la repartición solicitante. ;60;Unidad;1500000;ARS;90000000
10002-1251-LPU22;Licitación Pública Tristán N° 1353; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-02T11:00:00-03:00;2023-03-13T11:00:00-03:00;39;2023-02-01T15:01:00-03:00;2023-03-07T23:59:00-03:00;34;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;60;Unidad;1145000;ARS;68700000
10002-1711-LPU22;Licitación Pública. Av. Costanera Tristán Achával Rodríguez N°1431.; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-22T07:31:00-03:00;2023-04-05T10:59:00-03:00;42;2023-02-22T07:31:00-03:00;2023-03-29T23:59:00-03:00;35;FALSO;FALSO;es;24.01.001.0003.1-0;CONCESION DE SERVICIO DE GASTRONOMIA . Modelo: Para venta de comidas, bebidas, golosinas, infusiones, etc. mediante carros expendedores ;60;Unidad;440000;ARS;26400000
10002-1728-LPU22;Licitación Pública Junín 1930, Centro Cultural Recoleta, Museo interactivo.; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-01-17T11:00:00-03:00;2023-02-28T11:00:00-03:00;42;2023-01-17T11:00:00-03:00;2023-02-22T23:59:00-03:00;36;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;60;Unidad;156000;ARS;9360000
10002-1786-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 7; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-13T11:00:00-03:00;2023-04-05T11:00:00-03:00;51;2023-02-13T13:00:00-03:00;2023-03-30T13:00:00-03:00;45;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;532000;ARS;191520000
10002-1786-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 7; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-13T11:00:00-03:00;2023-04-05T11:00:00-03:00;51;2023-02-13T13:00:00-03:00;2023-03-30T13:00:00-03:00;45;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;185000;ARS;66600000
10002-1786-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 7; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-13T11:00:00-03:00;2023-04-05T11:00:00-03:00;51;2023-02-13T13:00:00-03:00;2023-03-30T13:00:00-03:00;45;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;265000;ARS;95400000
10002-1833-LPU22;Licitación Pública Tambito, Av. Adolfo Berro al 3900.; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-01-20T11:00:00-03:00;2023-03-01T11:00:00-03:00;40;2023-01-20T08:01:00-03:00;2023-02-23T23:59:00-03:00;34;FALSO;FALSO;es;24.01.001.0003.1-0;CONCESION DE SERVICIO DE GASTRONOMIA . Modelo: Para venta de comidas, bebidas, golosinas, infusiones, etc. mediante carros expendedores ;60;Unidad;220000;ARS;13200000
10002-1903-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 8; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-23T11:00:00-03:00;2023-04-10T11:00:00-03:00;46;2023-02-23T09:01:00-03:00;2023-04-04T17:00:00-03:00;40;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;1500000;ARS;540000000
10002-1903-LPU22;Predios bajo autopista 25 de Mayo - Ley Nº 6.056 - Etapa Nº 8; Otros no especificados precedentemente-;active;CABA-UE-10002 ;ARS;0;Direccion General Concesiones y Permisos;open;LICITACION PUBLICA;goods;Concesiones;2023-02-23T11:00:00-03:00;2023-04-10T11:00:00-03:00;46;2023-02-23T09:01:00-03:00;2023-04-04T17:00:00-03:00;40;FALSO;FALSO;es;24.01.001.0005.1-0;CONCESION DE PREDIO Demás especificaciones deberán ser indicadas por la repartición solicitante. Modelo: Según requerimiento de la repartición solicitante. ;360;Unidad;340000;ARS;122400000
